token,face_swap
239f12bf842af565ef1270a2860b0a38fcdbcca8e8e53eec242c9c221801vi07,True
79a847abe38fc6a2d486713111cca1a21cb4cdc7885ac05525aa6cb71801vi07,True
fe290149c65de084ffd6fe01ee2f496fd5d8aadc952b0f6a4d52c11c1801vi07,True
4a49bba6aedcc6e904c82ac0dfd8f428c1dc01661d11bf82167484b31801vi07,True
65546b0f6613e21ddd4106d81013c04e314ca9dc70465ce8fc698b871801vi07,True
f3f3844c6c4c4735a17d79d4dbf8fb2e1e9420f28eb067457a59fa661801vi07,True
6f770ebc01f31a07980fb94cf8e3c47dac76d69f0bd1e79a464723841801vi07,True
fb823e7c3f9fcc7de58668222ad0b37b85dd1f34e6fc14a924dec2251801vi07,True
85ff2f847bfdc51d0d1bb9722964dc7ed44cfa66d9f180fe215300001801vi07,True
266af6ca8211a26659c706e63de4f4ba7aa808f3cff3a30359d3a8fd1801vi07,True
f84b1b3f4fc6fd2d10ab261678dc07ef6ceab808e4ce07439ed301901801vi07,True
d83d408a18e995d7b89d286a362155309411c4263f804f78544688cd1801vi07,True
f8c7b8676f7bf2a9750ba8f46bd9dd8b27ab31bbfa490d29f064939e1801vi07,True
b38ca88389b1e739918a363a0234a733c646b5e620d7cb62e6cdd2901801vi07,True
49bce051456feb1829e1c76d1ba38254531802ea3f38c6c90adaae841801vi07,True
6eb0e7f505b52aa05ad63222e73b33e1d08fa7f355adbfa8d0e8daa01801vi07,True
3642184518c7604bdea77ea8a509c67d310790f01d0a4f7fbbcb996c1801vi07,True
